Date,Location,Rank,Score,Corps
6/21/13,"Belvidere, IL",1st,74.1,The Cadets
6/21/13,"Belvidere, IL",2nd,71.3,Phantom Regiment
6/21/13,"Belvidere, IL",3rd,68.7,Madison Scouts
6/21/13,"Belvidere, IL",4th,63.1,Blue Stars
6/21/13,"Clovis, CA",1st,74.5,Carolina Crown
6/21/13,"Clovis, CA",2nd,74.35,Blue Devils
6/21/13,"Clovis, CA",3rd,71.15,Santa Clara Vanguard
6/21/13,"Clovis, CA",4th,67,Blue Knights
6/21/13,"Clovis, CA",5th,60.75,Pacific Crest
6/21/13,"Clovis, CA",6th,58.05,Mandarins
6/21/13,"Lexington, KY",1st,70,Bluecoats
6/21/13,"Lexington, KY",2nd,66.7,The Cavaliers
6/21/13,"Lexington, KY",3rd,66.1,Spirit of Atlanta
6/21/13,"Lexington, KY",4th,61.7,Crossmen
6/21/13,"Lexington, KY",5th,59,Troopers
6/28/13,"Jackson, NJ",1st,77.6,The Cadets
6/28/13,"Jackson, NJ",2nd,73.9,Phantom Regiment
6/28/13,"Jackson, NJ",3rd,73.2,Bluecoats
6/28/13,"Jackson, NJ",4th,69.2,Boston Crusaders
6/28/13,"Jackson, NJ",5th,52.4,Jersey Surf
6/28/13,"Muncie, IN",1st,74.6,Madison Scouts
6/28/13,"Muncie, IN",2nd,72.9,The Cavaliers
6/28/13,"Muncie, IN",3rd,70.8,Spirit of Atlanta
6/28/13,"Muncie, IN",4th,68.4,Blue Stars
6/28/13,"Muncie, IN",5th,67.8,Crossmen
6/28/13,"Muncie, IN",6th,67,Troopers
6/28/13,"Muncie, IN",7th,63.8,Colts
6/28/13,"Oceanside, CA",1st,80.05,Carolina Crown
6/28/13,"Oceanside, CA",2nd,69.35,Pacific Crest
6/28/13,"Oceanside, CA",3rd,66.95,Mandarins
6/28/13,"Tualatin, OR",1st,75.1,Santa Clara Vanguard
6/28/13,"Tualatin, OR",2nd,71,Blue Knights
6/28/13,"Tualatin, OR",4th,52.7,Seattle Cascades
6/29/13,"Madison, WI",1st,75.1,Madison Scouts
6/29/13,"Madison, WI",2nd,73.8,The Cavaliers
