Date,Location,Rank,Score,Corps
2013-06-21,"Belvidere, IL",1st,74.1,The Cadets
2013-06-21,"Belvidere, IL",2nd,71.3,Phantom Regiment
2013-06-21,"Belvidere, IL",3rd,68.7,Madison Scouts
2013-06-21,"Belvidere, IL",4th,63.1,Blue Stars
2013-06-21,"Clovis, CA",1st,74.5,Carolina Crown
2013-06-21,"Clovis, CA",2nd,74.35,Blue Devils
2013-06-21,"Clovis, CA",4th,67.0,Blue Knights
2013-06-21,"Clovis, CA",5th,60.75,Pacific Crest
2013-06-21,"Clovis, CA",6th,58.05,Mandarins
2013-06-21,"Lexington, KY",1st,70.0,Bluecoats
2013-06-21,"Lexington, KY",2nd,66.7,The Cavaliers
2013-06-21,"Lexington, KY",3rd,66.1,Spirit of Atlanta
2013-06-21,"Lexington, KY",4th,61.7,Crossmen
2013-06-21,"Lexington, KY",5th,59.0,Troopers
2013-06-28,"Jackson, NJ",1st,77.6,The Cadets
2013-06-28,"Jackson, NJ",2nd,73.9,Phantom Regiment
2013-06-28,"Jackson, NJ",3rd,73.2,Bluecoats
2013-06-28,"Jackson, NJ",4th,69.2,Boston Crusaders
2013-06-28,"Jackson, NJ",5th,52.4,Jersey Surf
2013-06-28,"Muncie, IN",1st,74.6,Madison Scouts
2013-06-28,"Muncie, IN",2nd,72.9,The Cavaliers
2013-06-28,"Muncie, IN",3rd,70.8,Spirit of Atlanta
2013-06-28,"Muncie, IN",4th,68.4,Blue Stars
2013-06-28,"Muncie, IN",5th,67.8,Crossmen
2013-06-28,"Muncie, IN",6th,67.0,Troopers
2013-06-28,"Muncie, IN",7th,63.8,Colts
2013-06-28,"Oceanside, CA",1st,80.05,Carolina Crown
2013-06-28,"Oceanside, CA",2nd,69.35,Pacific Crest
2013-06-28,"Oceanside, CA",3rd,66.95,Mandarins
2013-06-28,"Tualatin, OR",2nd,71.0,Blue Knights
2013-06-28,"Tualatin, OR",4th,52.7,Seattle Cascades
2013-06-29,"Madison, WI",1st,75.1,Madison Scouts
2013-06-29,"Madison, WI",2nd,73.8,The Cavaliers
2013-06-29,"Madison, WI",3rd,68.4,Crossmen
2013-06-29,"Madison, WI",4th,68.3,Blue Stars
2013-06-29,"Madison, WI",5th,68.2,Troopers
2013-06-29,"Madison, WI",6th,65.5,Colts
2013-06-29,"Quincy, MA",1st,78.0,The Cadets
2013-06-29,"Quincy, MA",2nd,74.4,Phantom Regiment
2013-06-29,"Quincy, MA",3rd,73.5,Bluecoats
2013-06-29,"Quincy, MA",4th,70.4,Boston Crusaders
2013-06-29,"Quincy, MA",5th,56.2,Jersey Surf
2013-06-29,"Renton, WA",2nd,72.1,Blue Knights
2013-06-29,"Renton, WA",4th,49.5,Seattle Cascades
2013-06-29,"Walnut, CA",1st,81.2,Carolina Crown
2013-06-29,"Walnut, CA",2nd,80.9,Blue Devils
2013-06-29,"Walnut, CA",3rd,70.3,Pacific Crest
2013-06-29,"Walnut, CA",4th,67.85,Mandarins
2013-06-30,"New Haven, CT",1st,79.7,The Cadets
2013-06-30,"New Haven, CT",2nd,74.5,Phantom Regiment
2013-06-30,"New Haven, CT",3rd,74.3,Bluecoats
2013-06-30,"New Haven, CT",4th,70.5,Boston Crusaders
2013-06-30,"New Haven, CT",5th,56.3,Jersey Surf
2013-06-30,"Riverside, CA",1st,81.85,Carolina Crown
2013-06-30,"Riverside, CA",2nd,80.95,Blue Devils
2013-06-30,"Riverside, CA",3rd,70.3,Pacific Crest
2013-06-30,"Riverside, CA",4th,67.9,Mandarins
2013-06-30,"Rochester, MN",1st,74.4,Madison Scouts
2013-06-30,"Rochester, MN",2nd,70.5,Blue Stars
2013-06-30,"Rochester, MN",3rd,70.3,Crossmen
2013-06-30,"Rochester, MN",4th,68.3,Troopers
2013-06-30,"Rochester, MN",5th,66.6,Colts
2013-06-30,"Salem, WI",1st,75.4,The Cavaliers
2013-06-30,"Salem, WI",2nd,72.1,Spirit of Atlanta
2013-07-01,"Mankato, MN",1st,75.2,Madison Scouts
2013-07-01,"Mankato, MN",2nd,73.3,Blue Stars
2013-07-01,"Mankato, MN",3rd,71.7,Crossmen
2013-07-01,"Mankato, MN",4th,69.6,Colts
2013-07-01,"Mankato, MN",4th,69.6,Troopers
2013-07-01,"Tri Cities, WA",2nd,71.3,Blue Knights
2013-07-01,"Tri Cities, WA",4th,53.1,Seattle Cascades
2013-07-02,"Boise, ID",2nd,72.5,Blue Knights
2013-07-02,"Boise, ID",4th,53.6,Seattle Cascades
2013-07-03,"Bristol, RI",1st,82.2,The Cadets
2013-07-03,"Bristol, RI",2nd,77.8,Bluecoats
2013-07-03,"Bristol, RI",3rd,77.7,Phantom Regiment
2013-07-03,"Bristol, RI",4th,73.9,Boston Crusaders
2013-07-03,"Bristol, RI",5th,61.7,Jersey Surf
2013-07-03,"Cedarburg, WI",1st,77.4,Madison Scouts
2013-07-03,"Cedarburg, WI",2nd,72.8,Spirit of Atlanta
2013-07-03,"Cedarburg, WI",3rd,70.7,Blue Stars
2013-07-03,"Cedarburg, WI",4th,69.2,Crossmen
2013-07-03,"Cedarburg, WI",5th,68.8,Colts
2013-07-03,"Ogden, UT",1st,83.3,Carolina Crown
2013-07-03,"Ogden, UT",2nd,82.3,Blue Devils
2013-07-03,"Ogden, UT",4th,73.9,Blue Knights
2013-07-03,"Ogden, UT",5th,55.8,Seattle Cascades
2013-07-05,"Casper, WY",1st,83.3,Carolina Crown
2013-07-05,"Casper, WY",2nd,73.9,Blue Knights
2013-07-05,"Casper, WY",3rd,70.6,Troopers
2013-07-05,"Casper, WY",4th,59.8,Seattle Cascades
2013-07-05,"Lynn, MA",1st,82.8,The Cadets
2013-07-05,"Lynn, MA",2nd,79.05,Phantom Regiment
2013-07-05,"Lynn, MA",3rd,78.35,Bluecoats
2013-07-05,"Lynn, MA",4th,74.2,Boston Crusaders
2013-07-05,"Lynn, MA",5th,64.7,Jersey Surf
2013-07-05,"Whitewater, WI",1st,77.5,Madison Scouts
2013-07-05,"Whitewater, WI",2nd,76.3,The Cavaliers
2013-07-05,"Whitewater, WI",3rd,72.9,Spirit of Atlanta
2013-07-05,"Whitewater, WI",4th,71.45,Blue Stars
2013-07-05,"Whitewater, WI",5th,69.4,Colts
2013-07-06,"Chester, PA",1st,81.8,The Cadets
2013-07-06,"Chester, PA",2nd,78.6,Phantom Regiment
2013-07-06,"Chester, PA",3rd,78.3,Bluecoats
2013-07-06,"Chester, PA",4th,74.9,Boston Crusaders
2013-07-06,"Chester, PA",5th,65.35,Jersey Surf
2013-07-06,"Denver, CO",1st,83.15,Carolina Crown
2013-07-06,"Denver, CO",2nd,82.65,Blue Devils
2013-07-06,"Denver, CO",4th,74.65,Blue Knights
2013-07-06,"Denver, CO",5th,71.55,Troopers
2013-07-06,"Denver, CO",6th,68.35,The Academy
2013-07-06,"Denver, CO",7th,57.4,Seattle Cascades
2013-07-06,"Michigan City, IN",1st,79.2,Madison Scouts
2013-07-06,"Michigan City, IN",2nd,78.75,The Cavaliers
2013-07-06,"Michigan City, IN",3rd,75.6,Spirit of Atlanta
2013-07-06,"Michigan City, IN",4th,72.55,Blue Stars
2013-07-06,"Michigan City, IN",5th,72.5,Crossmen
2013-07-06,"Sacramento, CA",1st,70.3,Mandarins
2013-07-07,"Chambersburg, PA",1st,83.15,The Cadets
2013-07-07,"Chambersburg, PA",2nd,79.3,Phantom Regiment
2013-07-07,"Chambersburg, PA",3rd,78.8,Bluecoats
2013-07-07,"Chambersburg, PA",4th,73.95,Boston Crusaders
2013-07-07,"Lisle, IL",1st,77.0,The Cavaliers
2013-07-07,"Lisle, IL",2nd,74.85,Spirit of Atlanta
2013-07-07,"Lisle, IL",3rd,72.8,Blue Stars
2013-07-07,"Lisle, IL",4th,72.75,Crossmen
2013-07-07,"Pleasant Hill, CA",1st,71.45,Mandarins
2013-07-08,"Omaha, NE",1st,83.3,Carolina Crown
2013-07-08,"Omaha, NE",2nd,82.65,Blue Devils
2013-07-08,"Omaha, NE",4th,75.4,Blue Knights
2013-07-08,"Omaha, NE",5th,72.4,Troopers
2013-07-08,"Omaha, NE",6th,68.35,The Academy
2013-07-08,"Omaha, NE",7th,58.1,Seattle Cascades
2013-07-09,"Metamora, IL",1st,80.7,Phantom Regiment
2013-07-09,"Metamora, IL",2nd,75.3,Spirit of Atlanta
2013-07-09,"Metamora, IL",3rd,73.1,Blue Stars
2013-07-09,"Metamora, IL",4th,70.4,Colts
2013-07-09,"Metamora, IL",5th,69.0,The Academy
2013-07-09,"Sioux Falls, SD",1st,83.4,Carolina Crown
2013-07-09,"Sioux Falls, SD",2nd,74.7,Blue Knights
2013-07-09,"Sioux Falls, SD",3rd,72.2,Troopers
2013-07-09,"Sioux Falls, SD",4th,55.4,Seattle Cascades
2013-07-10,"Waukee, IA",2nd,79.75,Madison Scouts
2013-07-10,"Waukee, IA",3rd,75.1,Spirit of Atlanta
2013-07-10,"Waukee, IA",4th,73.75,Colts
2013-07-10,"Waukee, IA",5th,70.0,The Academy
2013-07-10,"Waukee, IA",6th,61.0,Seattle Cascades
2013-07-11,"Muscatine, IA",1st,80.15,Madison Scouts
2013-07-11,"Muscatine, IA",2nd,76.55,Spirit of Atlanta
2013-07-11,"Muscatine, IA",3rd,75.15,Crossmen
2013-07-11,"Muscatine, IA",4th,73.9,Colts
2013-07-11,"Warrensburg, MO",1st,85.45,Carolina Crown
2013-07-11,"Warrensburg, MO",2nd,84.1,Blue Devils
2013-07-11,"Warrensburg, MO",3rd,83.9,The Cadets
