,date,location,event_name,drum_corps,general_effect1_judge,general_effect2_judge,visual_proficiency_judge,visual_analysis_judge,visual_color_guard_judge,music_brass_judge,music_analysis_judge,music_percussion_judge,general_effect1a_score,general_effect1b_score,general_effect2a_score,general_effect2b_score,general_effect_total_score,visual_proficiency_score,visual_analysis_score,visual_color_guard_score,visual_total_score,music_brass_score,music_analysis1_score,music_analysis2_score,music_percussion_score,music_total_score,total_score
0,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Pacific Crest,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,13.80,14.40,14.40,14.40,28.50,13.90,14.10,14.20,21.10,14.00,14.10,14.30,14.50,21.35,70.95
1,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Music City,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,14.30,14.70,14.70,14.20,28.95,14.30,14.40,13.70,21.20,14.80,14.20,14.10,15.10,22.025,72.175
2,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,The Academy,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,14.50,14.80,14.90,14.60,29.40,14.10,14.90,14.80,21.90,14.50,15.00,14.80,14.20,21.80,73.1
3,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Genesis,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,13.60,13.80,14.10,13.90,27.70,14.00,13.80,13.40,20.60,14.20,14.40,13.80,13.60,20.95,69.25
4,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Madison Scouts,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,14.70,15.00,15.20,14.80,29.85,15.30,15.00,14.00,22.15,15.20,15.10,15.50,15.70,23.10,75.1
5,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Troopers,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,15.00,15.40,15.70,15.00,30.55,15.00,15.60,14.90,22.75,15.80,15.40,15.30,16.50,23.825,77.125
6,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Crossmen,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,15.40,15.70,16.10,15.50,31.35,15.20,16.10,15.70,23.50,15.60,15.85,15.60,15.60,23.463,78.313
7,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Colts,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,15.70,15.80,15.50,15.80,31.40,15.60,15.30,15.20,23.05,16.20,15.70,15.70,16.40,24.15,78.6
8,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Blue Knights,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,15.50,15.90,16.00,16.00,31.70,15.40,15.70,15.50,23.30,16.00,16.00,15.90,16.30,24.125,79.125
9,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Phantom Regiment,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,16.30,16.40,16.60,16.50,32.90,16.10,16.50,16.50,24.55,16.40,16.30,16.60,16.60,24.725,82.175
10,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,The Cavaliers,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,16.40,16.90,16.20,16.20,32.85,16.70,16.60,16.10,24.70,16.95,17.00,16.90,17.50,25.70,83.25
11,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Mandarins,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,16.60,16.70,16.70,16.60,33.30,16.50,16.40,17.00,24.95,17.10,16.70,16.75,17.30,25.563,83.813
12,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Blue Stars,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,17.00,17.00,17.00,17.00,34.00,16.30,17.10,17.10,25.25,16.80,17.05,17.00,16.90,25.363,84.613
13,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,The Cadets,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,17.10,17.20,17.20,17.20,34.35,16.90,17.20,16.90,25.50,17.30,17.20,17.10,17.90,26.175,86.025
14,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Bluecoats,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,17.80,17.90,17.90,17.80,35.70,18.15,18.30,17.80,27.125,18.10,17.60,17.70,18.40,27.075,89.9
15,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Santa Clara Vanguard,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,17.40,17.80,17.60,17.60,35.20,17.70,17.60,17.30,26.30,17.80,18.10,17.90,18.70,27.25,88.75
16,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Boston Crusaders,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,17.70,18.20,18.10,18.00,36.00,18.00,18.10,18.40,27.25,18.25,18.05,18.05,18.60,27.45,90.7
17,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Carolina Crown,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,18.10,18.10,18.00,18.10,36.15,18.05,17.90,17.90,26.925,18.40,18.30,18.10,18.10,27.35,90.425
18,2022-07-23,"San Antonio, TX",DCI Southwestern Championship,Blue Devils,Padilla/Rothe,Wemhoff/Young,Chris Moss,Tom Slaughter,Tim Landess,Mark Hoskins,Carbone/Dillon,Jeff Brooks,18.30,18.50,18.40,18.40,36.80,18.35,18.60,18.30,27.625,18.70,18.35,18.35,18.45,27.75,92.175
0,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Genesis,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,14.50,14.40,15.40,14.60,29.45,15.10,14.50,13.60,21.60,14.40,14.70,0,13.70,21.40,72.45
1,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Music City,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,15.00,15.40,16.20,14.40,30.50,15.80,14.40,14.50,22.35,15.00,15.20,0,15.80,23.00,75.85
2,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,The Academy,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,15.20,15.90,16.40,15.00,31.25,15.90,14.90,14.70,22.75,15.10,16.00,0,14.50,22.80,76.8
3,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Madison Scouts,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,16.00,15.70,16.00,15.40,31.55,15.70,15.50,15.00,23.10,15.60,15.40,0,14.80,22.90,77.55
4,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Phantom Regiment,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,17.00,17.00,17.60,16.80,34.20,17.20,17.00,17.10,25.65,17.60,17.30,0,17.30,26.10,85.95
5,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,The Cavaliers,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,17.10,16.90,17.10,17.30,34.20,17.10,17.40,16.90,25.70,17.10,17.80,0,18.20,26.55,86.45
6,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Mandarins,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,17.30,17.50,16.60,17.70,34.55,17.50,17.30,17.20,26.00,16.90,16.70,0,17.10,25.35,85.9
7,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Blue Stars,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,17.70,17.60,17.30,17.90,35.25,17.90,17.60,17.90,26.70,17.30,17.70,0,16.80,25.90,87.85
8,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Santa Clara Vanguard,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,18.60,18.00,18.00,18.20,36.40,18.10,18.20,18.00,27.15,18.00,18.20,0,18.60,27.40,90.95
9,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Bluecoats,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,18.20,18.60,18.85,18.35,37.00,18.40,18.30,18.55,27.625,17.90,18.80,0,18.50,27.60,92.225
10,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Blue Devils,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,19.10,19.00,18.80,18.90,37.90,18.90,19.00,18.50,28.20,18.30,18.95,0,18.65,27.95,94.05
11,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Carolina Crown,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,18.30,18.40,18.95,18.60,37.125,18.70,18.60,18.60,27.95,18.70,19.00,0,18.25,27.975,93.05
12,2022-07-30,"Atlanta, GA",DCI Southeastern Championship,Boston Crusaders,Chumley/Rickart,Hestin/Miller,Carl Nelson,Blair Kuhn,Ira Jenkins,Steven Page,Marty Griffin,Mike Leitzke,18.70,18.70,18.65,19.00,37.525,18.80,18.95,18.85,28.30,18.50,18.90,0,18.70,28.05,93.875
0,2022-08-06,"Allentown, PA",DCI Eastern Classic,Genesis,McCourt/Miller,Fugett/Waymire,Jim Sturgeon,George Oliviero,Hieu Nguyen,Beth Fabrizio,Missing/Webb,Jeff Ausdemore,15.50,15.00,14.90,14.80,30.10,15.40,14.20,14.80,22.20,15.30,15.30,15.30,14.90,22.75,75.05
1,2022-08-06,"Allentown, PA",DCI Eastern Classic,Jersey Surf,McCourt/Miller,Fugett/Waymire,Jim Sturgeon,George Oliviero,Hieu Nguyen,Beth Fabrizio,Missing/Webb,Jeff Ausdemore,15.60,14.80,14.40,14.60,29.70,14.90,14.40,13.70,21.50,14.80,14.50,14.50,13.70,21.50,72.7
2,2022-08-06,"Allentown, PA",DCI Eastern Classic,Pacific Crest,McCourt/Miller,Fugett/Waymire,Jim Sturgeon,George Oliviero,Hieu Nguyen,Beth Fabrizio,Missing/Webb,Jeff Ausdemore,15.20,15.30,15.10,15.20,30.40,15.70,14.80,15.70,23.10,15.50,16.30,16.30,15.40,23.60,77.1
