Date,Location,Rank,Score,Corps
2022-06-24,"Vista, CA",1st,69.95,Santa Clara Vanguard
2022-06-24,"Vista, CA",2nd,65.3,Mandarins
2022-06-24,"Vista, CA",3rd,61.45,The Academy
2022-06-24,"Vista, CA",4th,57.75,Pacific Crest
2022-06-25,"Pasadena, CA",1st,72.3,Blue Devils
2022-06-25,"Pasadena, CA",2nd,70.9,Santa Clara Vanguard
2022-06-25,"Pasadena, CA",3rd,66.45,Mandarins
2022-06-25,"Pasadena, CA",4th,62.15,The Academy
2022-06-25,"Pasadena, CA",5th,57.35,Pacific Crest
2022-06-26,"San Bernardino, CA",1st,73.5,Blue Devils
2022-06-26,"San Bernardino, CA",2nd,71.85,Santa Clara Vanguard
2022-06-26,"San Bernardino, CA",3rd,67.65,Mandarins
2022-06-26,"San Bernardino, CA",4th,63.65,The Academy
2022-06-26,"San Bernardino, CA",5th,58.25,Pacific Crest
2022-06-28,"Detroit, MI",1st,71.7,Bluecoats
2022-06-28,"Detroit, MI",2nd,69.45,Boston Crusaders
2022-06-28,"Detroit, MI",3rd,67.6,The Cavaliers
2022-06-28,"Detroit, MI",4th,65.75,Phantom Regiment
2022-06-28,"Detroit, MI",5th,65.15,Blue Stars
2022-06-28,"Detroit, MI",6th,63.35,Crossmen
2022-07-01,"Muncie, IN",1st,73.45,Carolina Crown
2022-07-01,"Muncie, IN",2nd,70.2,The Cavaliers
2022-07-01,"Muncie, IN",3rd,67.75,Phantom Regiment
2022-07-01,"Muncie, IN",4th,67.4,Blue Stars
2022-07-01,"Muncie, IN",5th,63.15,Crossmen
2022-07-01,"Muncie, IN",6th,62.35,Colts
2022-07-02,"Kent, OH",1st,74.4,Carolina Crown
2022-07-02,"Kent, OH",2nd,73.95,Bluecoats
2022-07-02,"Kent, OH",3rd,60.25,Music City
2022-07-02,"Madison, WI",1st,72.3,The Cavaliers
2022-07-02,"Madison, WI",2nd,70.0,Blue Stars
2022-07-02,"Madison, WI",3rd,65.85,Colts
2022-07-02,"Madison, WI",4th,64.5,Madison Scouts
2022-07-02,"Quincy, MA",1st,72.9,Boston Crusaders
2022-07-02,"Quincy, MA",2nd,69.15,The Cadets
2022-07-02,"Quincy, MA",3rd,57.0,Jersey Surf
2022-07-02,"Tempe, AZ",1st,75.45,Blue Devils
2022-07-02,"Tempe, AZ",2nd,74.05,Santa Clara Vanguard
2022-07-02,"Tempe, AZ",3rd,66.7,Blue Knights
2022-07-02,"Tempe, AZ",4th,63.5,The Academy
2022-07-02,"Tempe, AZ",5th,59.9,Pacific Crest
2022-07-03,"Cedarburg, WI",1st,72.15,Blue Stars
2022-07-03,"Cedarburg, WI",2nd,65.0,Madison Scouts
2022-07-03,"Lisle, IL",1st,73.4,The Cavaliers
2022-07-03,"Lisle, IL",2nd,68.25,Crossmen
2022-07-03,"Lisle, IL",3rd,65.4,Colts
2022-07-03,"Lisle, IL",4th,64.15,Music City
2022-07-03,"Lynn, MA",1st,74.75,Boston Crusaders
2022-07-03,"Lynn, MA",2nd,71.35,The Cadets
2022-07-03,"Lynn, MA",3rd,59.1,Jersey Surf
