date,location,event_name,drum_corps,general_effect1_judge,general_effect2_judge,visual_proficiency_judge,visual_analysis_judge,visual_color_guard_judge,music_brass_judge,music_analysis_judge,music_percussion_judge,general_effect1a_score,general_effect1b_score,general_effect2a_score,general_effect2b_score,general_effect_total_score,visual_proficiency_score,visual_analysis_score,visual_color_guard_score,visual_total_score,music_brass_score,music_analysis1_score,music_analysis2_score,music_percussion_score,music_total_score,total_score
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Genesis,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,14.40,14.50,13.80,14.70,28.70,14.40,14.70,14.50,21.80,14.30,14.10,14.30,14.60,21.55,72.05
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Seattle Cascades,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,14.00,13.00,13.50,13.60,27.05,13.30,13.30,13.50,20.05,12.80,13.60,12.50,14.90,20.375,67.475
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Music City,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,15.20,15.20,14.30,15.00,29.85,15.00,15.20,15.20,22.70,14.50,14.60,15.00,16.40,22.85,75.4
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Spirit of Atlanta,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,15.00,15.00,14.40,15.40,29.90,15.40,15.30,15.60,23.15,15.40,15.00,15.40,15.90,23.25,76.3
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Madison Scouts,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,15.60,15.70,14.70,15.20,30.60,15.70,15.60,15.10,23.20,15.20,15.40,15.50,16.10,23.375,77.175
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Crossmen,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,15.55,15.10,16.10,15.60,31.175,15.60,15.40,15.70,23.35,15.10,15.70,15.60,16.45,23.60,78.125
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,The Academy,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,15.10,15.40,15.00,16.10,30.80,16.10,15.90,15.30,23.65,15.60,14.80,15.15,15.40,22.988,77.438
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Blue Knights,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,16.30,16.30,16.40,15.80,32.40,16.00,15.50,15.50,23.50,16.10,15.25,15.30,17.10,24.238,80.138
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Colts,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,16.50,16.90,16.75,16.60,33.375,16.45,16.60,16.40,24.725,16.40,16.30,16.50,16.90,24.85,82.95
2023-07-22,"San Antonio, TX",DCI Southwestern Championship,Pacific Crest,Llacer/Rickart,McGahey/Carbone,Jim Sturgeon,Travis Wingate,Beverly Brahan,Paul McGarr,Fugett/Young,Jeff Brooks,15.90,16.50,16.60,15.95,32.475,16.35,16.20,16.10,24.325,15.90,15.95,15.75,15.60,23.675,80.475
