date,location,event_name,corps,general_effect1_judge,general_effect2_judge,visual_proficiency_judge,visual_analysis_judge,visual_color_guard_judge,music_brass_judge,music_analysis_judge,music_percussion_judge,general_effect1a_score,general_effect1b_score,general_effect2a_score,general_effect2b_score,general_effect_total_score,visual_proficiency_score,visual_analysis_score,visual_color_guard_score,visual_total_score,music_brass_score,music_analysis1_score,music_analysis2_score,music_percussion_score,music_total_score,total_score
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Blue Devils,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,18.0,18.0,18.6,18.3,36.45,18.299999999999997,18.1,18.2,27.3,18.2,17.8,17.950000000000003,18.1,27.088,90.838
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Blue Knights,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,16.5,16.700000000000003,16.5,16.8,33.25,16.8,16.4,16.0,24.6,16.9,16.45,16.4,16.9,25.113,82.963
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Blue Stars,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,17.0,17.0,17.2,17.2,34.2,17.049999999999997,16.950000000000003,17.25,25.625,17.4,16.5,17.0,16.7,25.425,85.25
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Bluecoats,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,18.6,18.6,18.8,18.7,37.35,18.5,18.6,18.5,27.8,18.4,18.6,18.5,18.4,27.675,92.825
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Boston Crusaders,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,18.5,18.5,19.0,18.6,37.3,18.700000000000003,18.4,18.4,27.75,18.9,18.65,18.6,18.799999999999997,28.163,93.213
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Carolina Crown,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,17.6,17.75,18.2,17.8,35.675,18.0,17.6,17.200000000000003,26.4,17.85,18.299999999999997,17.85,17.5,26.713,88.788
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Colts,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,16.299999999999997,16.15,16.700000000000003,16.4,32.775,16.700000000000003,16.45,16.3,24.725,16.4,16.85,16.1,16.5,24.688,82.188
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Crossmen,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,15.2,15.7,15.899999999999999,15.399999999999999,31.1,15.5,15.600000000000001,15.7,23.4,15.600000000000001,16.049999999999997,15.8,15.7,23.613,78.113
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Genesis,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,14.6,14.5,14.3,14.2,28.8,14.899999999999999,14.4,14.4,21.85,14.8,15.0,14.8,14.6,22.15,72.8
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Madison Scouts,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,16.0,16.35,16.299999999999997,16.1,32.375,16.1,16.0,16.4,24.25,16.2,15.850000000000001,16.2,16.0,24.113,80.738
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Mandarins,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,17.5,17.4,17.6,17.3,34.9,17.5,17.15,17.4,26.025,17.8,17.2,17.3,17.200000000000003,26.125,87.05
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Music City,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,15.4,15.2,15.4,14.8,30.4,15.100000000000001,15.45,15.2,22.875,15.399999999999999,15.3,15.3,15.5,23.1,76.375
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Pacific Crest,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,15.6,15.3,15.3,15.600000000000001,30.9,16.2,15.55,16.1,23.925,16.6,15.75,15.2,16.200000000000003,24.138,78.963
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Phantom Regiment,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,17.8,17.65,18.0,18.2,35.825,17.9,17.700000000000003,17.9,26.75,17.700000000000003,17.85,17.700000000000003,17.9,26.688,89.263
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Santa Clara Vanguard,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,18.1,18.1,18.5,17.9,36.3,18.4,18.2,17.1,26.85,18.6,18.35,18.1,18.700000000000003,27.763,90.913
2025-07-19,"San Antonio, TX",DCI Southwestern Championship,Seattle Cascades,T Wemhoff/D Deems,J Rhodes/M Howard,R Solomon,T Slaughter,J Oswald,D Argul,J Kennedy/J Harper,M Griffin,14.4,15.1,14.2,15.100000000000001,29.4,15.2,14.7,14.5,22.2,14.7,16.0,14.4,14.7,22.3,73.9
