date,location,event_name,corps,general_effect1_judge,general_effect2_judge,visual_proficiency_judge,visual_analysis_judge,visual_color_guard_judge,music_brass_judge,music_analysis_judge,music_percussion_judge,general_effect1_score,general_effect2_score,general_effect_total_score,visual_proficiency_score,visual_analysis_score,visual_color_guard_score,visual_total_score,music_brass_score,music_analysis_score,music_percussion_score,music_total_score,total_score
2025-06-28,"Fort Collins, CO",Drums Along the Rockies,Blue Devils,T Wemhoff,D Davis,J Sturgeon,T Slaughter,D Padilla,M Hoskins,R Rios,J Brooks,15.2,14.899999999999999,30.1,15.3,15.0,15.1,22.7,15.399999999999999,15.5,14.3,22.6,75.4
2025-06-28,"Fort Collins, CO",Drums Along the Rockies,Blue Knights,T Wemhoff,D Davis,J Sturgeon,T Slaughter,D Padilla,M Hoskins,R Rios,J Brooks,12.8,13.100000000000001,25.9,13.3,13.3,13.0,19.8,13.3,13.899999999999999,13.3,20.25,65.95
2025-06-28,"Fort Collins, CO",Drums Along the Rockies,Boston Crusaders,T Wemhoff,D Davis,J Sturgeon,T Slaughter,D Padilla,M Hoskins,R Rios,J Brooks,15.3,15.0,30.3,15.399999999999999,15.3,15.2,22.95,15.600000000000001,15.3,15.0,22.95,76.2
2025-06-28,"Fort Collins, CO",Drums Along the Rockies,Colts,T Wemhoff,D Davis,J Sturgeon,T Slaughter,D Padilla,M Hoskins,R Rios,J Brooks,13.600000000000001,13.8,27.4,13.6,13.9,13.7,20.6,14.100000000000001,13.5,12.899999999999999,20.25,68.25
2025-06-28,"Fort Collins, CO",Drums Along the Rockies,Troopers,T Wemhoff,D Davis,J Sturgeon,T Slaughter,D Padilla,M Hoskins,R Rios,J Brooks,13.100000000000001,13.4,26.5,14.3,13.4,13.2,20.45,13.7,14.100000000000001,13.8,20.8,67.75
2025-06-30,"Ogden, UT",Corps Encore,Blue Knights,D Padilla,M Hoskins,T Slaughter,J Sturgeon,J Oswald,R Rios,D Davis,J Brooks,13.5,13.8,27.3,13.4,13.4,13.100000000000001,19.95,13.9,13.5,13.8,20.6,67.85
2025-06-30,"Ogden, UT",Corps Encore,Boston Crusaders,D Padilla,M Hoskins,T Slaughter,J Sturgeon,J Oswald,R Rios,D Davis,J Brooks,15.5,15.8,31.3,15.4,15.5,15.4,23.15,15.9,15.6,15.3,23.4,77.85
2025-06-30,"Ogden, UT",Corps Encore,Seattle Cascades,D Padilla,M Hoskins,T Slaughter,J Sturgeon,J Oswald,R Rios,D Davis,J Brooks,12.7,12.899999999999999,25.6,12.5,13.0,11.9,18.7,12.4,12.5,11.8,18.35,62.65
2025-07-02,"Seattle, WA",Northwest Youth Music Games Seattle,Blue Knights,P Madden,C Rothe,H Nguyen,K Miller,C Dillon,N Jones,W Dillon,J Davila,13.2,13.600000000000001,26.8,13.2,13.7,13.1,20.0,14.5,13.899999999999999,13.7,21.05,67.85
2025-07-02,"Seattle, WA",Northwest Youth Music Games Seattle,Mandarins,P Madden,C Rothe,H Nguyen,K Miller,C Dillon,N Jones,W Dillon,J Davila,14.7,14.5,29.2,15.2,15.2,13.4,21.9,15.0,14.600000000000001,14.5,22.05,73.15
2025-07-02,"Seattle, WA",Northwest Youth Music Games Seattle,Santa Clara Vanguard,P Madden,C Rothe,H Nguyen,K Miller,C Dillon,N Jones,W Dillon,J Davila,15.5,14.899999999999999,30.4,15.600000000000001,15.8,15.3,23.35,15.5,14.9,15.2,22.8,76.55
2025-07-02,"Seattle, WA",Northwest Youth Music Games Seattle,Seattle Cascades,P Madden,C Rothe,H Nguyen,K Miller,C Dillon,N Jones,W Dillon,J Davila,12.4,12.6,25.0,12.1,13.0,11.8,18.45,12.8,12.8,12.1,18.85,62.3
2025-07-02,"Cedarburg, WI",Rotary Music Festival,Blue Stars,A Dalton,B Huneycutt,J Missing,C Raichle,R Bailey,A Brown,C Armbruster,C Rapacki,14.7,13.8,28.5,14.0,14.0,14.4,21.2,14.6,14.100000000000001,13.5,21.1,70.8
2025-07-02,"Cedarburg, WI",Rotary Music Festival,Colts,A Dalton,B Huneycutt,J Missing,C Raichle,R Bailey,A Brown,C Armbruster,C Rapacki,14.8,14.5,29.3,13.399999999999999,13.399999999999999,14.0,20.4,13.600000000000001,13.600000000000001,13.6,20.4,70.1
2025-07-02,"Cedarburg, WI",Rotary Music Festival,Madison Scouts,A Dalton,B Huneycutt,J Missing,C Raichle,R Bailey,A Brown,C Armbruster,C Rapacki,13.2,13.3,26.5,13.0,13.0,13.3,19.65,14.899999999999999,13.3,13.0,20.6,66.75
2025-07-02,"Cedarburg, WI",Rotary Music Festival,Phantom Regiment,A Dalton,B Huneycutt,J Missing,C Raichle,R Bailey,A Brown,C Armbruster,C Rapacki,15.3,15.0,30.3,14.600000000000001,14.600000000000001,15.399999999999999,22.3,15.3,14.7,14.600000000000001,22.3,74.9
2025-07-02,"Cedarburg, WI",Rotary Music Festival,The Cavaliers,A Dalton,B Huneycutt,J Missing,C Raichle,R Bailey,A Brown,C Armbruster,C Rapacki,14.100000000000001,14.3,28.4,12.899999999999999,12.899999999999999,14.6,20.2,14.2,13.1,14.399999999999999,20.85,69.45
2025-07-02,"Cedarburg, WI",Rotary Music Festival,Troopers,A Dalton,B Huneycutt,J Missing,C Raichle,R Bailey,A Brown,C Armbruster,C Rapacki,13.8,14.100000000000001,27.9,13.600000000000001,13.600000000000001,13.6,20.4,14.4,13.8,14.1,21.15,69.45
2025-07-03,"Portland, OR",Northwest Youth Music Games Portland,Blue Knights,K Miller,N Jones,C Dillon,P Madden,H Nguyen,W Dillon,J Davila,C Rothe,13.5,14.3,27.8,13.7,13.8,13.6,20.55,14.2,14.0,13.6,20.9,69.25
2025-07-03,"Portland, OR",Northwest Youth Music Games Portland,Mandarins,K Miller,N Jones,C Dillon,P Madden,H Nguyen,W Dillon,J Davila,C Rothe,15.0,15.0,30.0,15.2,15.2,15.0,22.7,15.100000000000001,14.5,14.600000000000001,22.1,74.8
2025-07-03,"Portland, OR",Northwest Youth Music Games Portland,Santa Clara Vanguard,K Miller,N Jones,C Dillon,P Madden,H Nguyen,W Dillon,J Davila,C Rothe,15.7,15.7,31.4,15.7,15.8,15.4,23.45,15.5,15.4,15.3,23.1,77.95
2025-07-03,"Portland, OR",Northwest Youth Music Games Portland,Seattle Cascades,K Miller,N Jones,C Dillon,P Madden,H Nguyen,W Dillon,J Davila,C Rothe,12.6,12.899999999999999,25.5,12.6,13.0,12.2,18.9,13.2,12.3,12.1,18.8,63.2
2025-07-03,"Rockford, IL",Show of Shows,Blue Stars,R Bailey,C Armbruster,A Dalton,C Nelson,C Raichle,B Huneycutt,A Brown,C Rapacki,14.8,14.5,29.3,14.899999999999999,14.2,14.5,21.8,15.2,14.600000000000001,14.0,21.9,73.0
2025-07-03,"Rockford, IL",Show of Shows,Crossmen,R Bailey,C Armbruster,A Dalton,C Nelson,C Raichle,B Huneycutt,A Brown,C Rapacki,13.899999999999999,12.8,26.7,13.3,12.5,12.6,19.2,14.0,13.3,13.399999999999999,20.35,66.25
2025-07-03,"Rockford, IL",Show of Shows,Madison Scouts,R Bailey,C Armbruster,A Dalton,C Nelson,C Raichle,B Huneycutt,A Brown,C Rapacki,13.7,13.600000000000001,27.3,13.7,12.8,13.5,20.0,15.0,13.8,14.1,21.45,68.75
2025-07-03,"Rockford, IL",Show of Shows,Phantom Regiment,R Bailey,C Armbruster,A Dalton,C Nelson,C Raichle,B Huneycutt,A Brown,C Rapacki,15.3,15.2,30.5,15.399999999999999,15.0,15.3,22.85,15.7,14.899999999999999,15.0,22.8,76.15
2025-07-03,"Rockford, IL",Show of Shows,The Cavaliers,R Bailey,C Armbruster,A Dalton,C Nelson,C Raichle,B Huneycutt,A Brown,C Rapacki,14.399999999999999,14.3,28.7,13.8,14.100000000000001,15.100000000000001,21.5,14.5,14.0,14.3,21.4,71.6
