Year,Corps,Date,Event,Rank,Score
2025,Blue Devils,07/29/2025,"Newark, DE",1st,93.950
2025,Blue Devils,07/27/2025,"Winston-Salem, NC",2nd,92.400
2025,Blue Devils,07/26/2025,"Atlanta, GA",2nd,92.925
2025,Blue Devils,07/25/2025,"Nashville, TN",2nd,92.250
2025,Blue Devils,07/19/2025,"San Antonio, TX",4th,90.838
2025,Blue Devils,07/19/2025,"San Antonio, TX",4th,90.838
2025,Blue Devils,07/18/2025,"Houston, TX",2nd,89.950
2025,Blue Devils,07/12/2025,"Pasadena, CA",2nd,85.250
2025,Blue Devils,07/11/2025,"Walnut, CA",2nd,84.300
2025,Blue Devils,07/06/2025,"Stanford, CA",2nd,81.800
2025,Blue Devils,06/28/2025,"Fort Collins, CO",2nd,75.400
2025,Blue Knights,07/30/2025,"Glassboro, NJ",2nd,87.250
2025,Blue Knights,07/29/2025,"Newark, DE",3rd,86.100
2025,Blue Knights,07/27/2025,"Winston-Salem, NC",7th,84.550
2025,Blue Knights,07/26/2025,"Atlanta, GA",6th,85.300
2025,Blue Knights,07/25/2025,"Birmingham, AL",1st,85.650
2025,Blue Knights,07/20/2025,"Bedford, TX",4th,83.550
2025,Blue Knights,07/19/2025,"San Antonio, TX",11th,82.963
2025,Blue Knights,07/19/2025,"San Antonio, TX",11th,82.963
2025,Blue Knights,07/17/2025,"Waco, TX",4th,82.000
2025,Blue Knights,07/15/2025,"Albuquerque, NM",2nd,80.300
2025,Blue Knights,07/15/2025,"Albuquerque, NM",2nd,80.300
2025,Blue Knights,07/13/2025,"Mesa, AZ",3rd,79.400
2025,Blue Knights,07/12/2025,"Pasadena, CA",5th,78.050
2025,Blue Knights,07/11/2025,"Walnut, CA",5th,76.800
2025,Blue Knights,07/09/2025,"Santa Clarita, CA",4th,75.050
2025,Blue Knights,07/06/2025,"Stanford, CA",5th,73.700
2025,Blue Knights,07/05/2025,"Sacramento, CA",4th,72.000
2025,Blue Knights,07/03/2025,"Portland, OR",3rd,69.250
2025,Blue Knights,07/02/2025,"Seattle, WA",3rd,67.850
2025,Blue Knights,06/30/2025,"Ogden, UT",2nd,67.850
2025,Blue Knights,06/28/2025,"Fort Collins, CO",5th,65.950
2025,Blue Stars,07/27/2025,"Winston-Salem, NC",5th,87.650
2025,Blue Stars,07/26/2025,"Atlanta, GA",4th,87.425
2025,Blue Stars,07/25/2025,"Nashville, TN",5th,86.700
2025,Blue Stars,07/21/2025,"McKinney, TX",5th,86.100
2025,Blue Stars,07/19/2025,"San Antonio, TX",8th,85.250
2025,Blue Stars,07/19/2025,"San Antonio, TX",8th,85.250
2025,Blue Stars,07/18/2025,"Houston, TX",5th,84.300
2025,Blue Stars,07/17/2025,"Waco, TX",2nd,83.750
2025,Blue Stars,07/15/2025,"Olathe, KS",2nd,81.200
2025,Blue Stars,07/09/2025,"Ankeny, IA",2nd,79.100
2025,Blue Stars,07/06/2025,"La Crosse, WI",2nd,75.200
2025,Blue Stars,07/03/2025,"Rockford, IL",2nd,73.000
2025,Blue Stars,07/02/2025,"Cedarburg, WI",2nd,70.800
2025,Bluecoats,07/30/2025,"Glassboro, NJ",1st,95.850
2025,Bluecoats,07/27/2025,"Winston-Salem, NC",1st,94.550
2025,Bluecoats,07/26/2025,"Atlanta, GA",1st,95.025
2025,Bluecoats,07/25/2025,"Nashville, TN",1st,94.400
2025,Bluecoats,07/20/2025,"Bedford, TX",1st,92.950
2025,Bluecoats,07/19/2025,"San Antonio, TX",2nd,92.825
2025,Bluecoats,07/19/2025,"San Antonio, TX",2nd,92.825
2025,Bluecoats,07/18/2025,"Houston, TX",1st,91.250
2025,Bluecoats,07/17/2025,"Denton, TX",1st,90.300
2025,Bluecoats,07/15/2025,"Broken Arrow, OK",1st,88.550
2025,Bluecoats,07/12/2025,"Lisle, IL",1st,86.500
2025,Bluecoats,07/06/2025,"La Crosse, WI",1st,83.300
2025,Boston Crusaders,07/28/2025,"Mason, OH",1st,94.750
2025,Boston Crusaders,07/26/2025,"DeKalb, IL",1st,93.725
2025,Boston Crusaders,07/23/2025,"Evansville, IN",1st,94.350
2025,Boston Crusaders,07/22/2025,"Belleville, IL",1st,93.500
2025,Boston Crusaders,07/19/2025,"San Antonio, TX",1st,93.213
