drum_corps,primary_color
The Academy,#CB2429
Blue Devils,#003DA6
Blue Knights,#0693E3
Blue Stars,#59A8EE
Bluecoats,#203265
Boston Crusaders,#DA291C
The Cadets,#811B30
Carolina Crown,#632C4F
The Cavaliers,#009445
Colts,#CD3232
Crossmen,#A4121F
Genesis,#533A7B
Jersey Surf,#004691
Madison Scouts,#004B23
Mandarins,#4B3963
Music City,#E10600
Pacific Crest,#208FA6
Phantom Regiment,#CE0E2D
Santa Clara Vanguard,#9E180B
Seattle Cascades,#002C94
Spirit of Atlanta,#8BB8E8
Troopers,#1C4587
Star of Indiana,#FF6699
Anaheim Kingsmen,#6EA1EC
